Ticker,Name,Dvd Yld,Change,DY rank,Change Rank,total rank,beta
TDG,TRANSDIGM GROUP INC,5.262142658,1.909021254,22,37,59,1.060958266
PGR,PROGRESSIVE CORP,3.718826771,1.677182808,71,49,120,0.884194136
AVGO,BROADCOM INC,3.069134951,2.039234424,116,30,146,0.979599714
TSN,TYSON FOODS INC-CL A,3.347121477,1.14765899,93,102,195,0.779286444
VLO,VALERO ENERGY CORP,3.738916636,0.880474098,70,156,226,1.085363746
DRI,DARDEN RESTAURANTS INC,2.612033606,1.286819004,158,83,241,0.772787809
MCD,MCDONALD'S CORP,3.015100956,1.02834603,120,122,242,0.705460906
BA,BOEING CO/THE,2.322855949,1.678239137,194,48,242,0.982430041
TXN,TEXAS INSTRUMENTS INC,2.516956568,1.201691305,170,93,263,1.070708275
MXIM,MAXIM INTEGRATED PRODUCTS,3.237597942,0.831951555,100,168,268,1.143926978
DLR,DIGITAL REALTY TRUST INC,3.590436697,0.7242535,78,191,269,0.699076176
EXR,EXTRA SPACE STORAGE INC,3.274418592,0.808546433,96,173,269,0.515144944
BBY,BEST BUY CO INC,2.37659955,1.302834776,187,82,269,1.097769737
CME,CME GROUP INC,2.281996489,1.320937646,199,74,273,0.586603105
JPM,JPMORGAN CHASE & CO,2.443720579,1.153747899,181,99,280,1.069030166
ATVI,ACTIVISION BLIZZARD INC,2.010505438,1.533731027,223,57,280,0.851930499
O,REALTY INCOME CORP,3.544903755,0.668644308,80,206,286,0.567091882
HD,HOME DEPOT INC,2.384730339,1.150541939,186,101,287,0.997952759
NI,NISOURCE INC,3.675373077,0.631202174,74,214,288,0.458328128
CCI,CROWN CASTLE INTL CORP,3.322013617,0.708843279,94,197,291,0.684991062
MAA,MID-AMERICA APARTMENT COMM,2.848875999,0.873123864,137,158,295,0.627209842
LRCX,LAM RESEARCH CORP,1.649003267,2.201186066,275,25,300,1.425520301
NEE,NEXTERA ENERGY INC,2.073467255,1.277178659,217,84,301,0.511117041
OKE,ONEOK INC,4.847045898,0.363618978,27,275,302,0.947455764
CTAS,CINTAS CORP,1.600187302,2.50746066,284,19,303,0.96032846